number,title,state,html_url,user,labels,assignee,comments,created_at,updated_at,closed_at,milestone,is_pull_request,body
2800,Fix: GitHub Actions Script Vulnerable to Code Injection Attacks in .github/workflows/comment-!build-commands.yml,closed,https://github.com/GraphiteEditor/Graphite/pull/2800,kira-offgrid,,,1,2025-06-30T04:33:08Z,2025-06-30T04:44:41Z,2025-06-30T04:41:54Z,,Sí,"**Context and Purpose:**  This PR automatically remediates a security vulnerability: - **Description:** Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR"". - **Rule ID:** yaml.github-actions.security.run-shell-injection.run-shell-injection - **Severity:** HIGH - **File:** .github/workflows/comment-!build-commands.yml - **Lines Affected:** 83 - 93  This change is necessary to protect the application from potential security risks associated with this vulnerability.  **Solution Implemented:**  The automated remediation process has applied the necessary changes to the affected code in `.github/workflows/comment-!build-commands.yml` to resolve the identified issue.  Please review the changes to ensure they are correct and integrate as expected."
2797,Fix links in docs,closed,https://github.com/GraphiteEditor/Graphite/pull/2797,Moharum1,,,1,2025-06-29T20:59:38Z,2025-06-29T23:15:20Z,2025-06-29T23:15:19Z,,Sí,Closes ##2479    
2792,Fix lasso select extending the previous selection area after it was aborted,closed,https://github.com/GraphiteEditor/Graphite/pull/2792,hemu,,,2,2025-06-29T03:24:30Z,2025-06-29T05:19:51Z,2025-06-29T05:19:51Z,,Sí,"Currently after aborting an in-progress lasso selection with RMB or ESC, starting a new lasso selection will extend the previous lasso selection instead of starting a new selection. This fix ensures the previous selection is cleared after abort.    Part of #2647    # before fix  https://github.com/user-attachments/assets/647fecd5-1be1-4b88-a902-6b3e739979d3    # after fix  https://github.com/user-attachments/assets/cd9a44c2-7259-4972-b1cf-0d064e4e1f04"
2791,Sliders get stuck to the mouse,closed,https://github.com/GraphiteEditor/Graphite/issues/2791,celyk,,,0,2025-06-29T03:11:25Z,2025-06-29T03:11:56Z,2025-06-29T03:11:56Z,,No,Some sliders don't stop scrolling after mouse up. Very annoying. The ranged sliders like rotation however don't have this issue  https://github.com/user-attachments/assets/cf94c2d7-9f14-43a0-9521-4bdadf69e457  Specs: MacBook Air M2 Safari 18.3 
2787,Fix the 'Split Coordinate' node that was broken in an earlier refactor commit,closed,https://github.com/GraphiteEditor/Graphite/pull/2787,Firestar99,,,0,2025-06-28T14:39:28Z,2025-06-30T06:49:01Z,2025-06-30T06:49:00Z,,Sí,"forgot a rename, there will probably be even more nodes I missed"
2784,Extract `gbrush`,closed,https://github.com/GraphiteEditor/Graphite/pull/2784,Firestar99,,,0,2025-06-28T11:01:24Z,2025-07-01T18:38:48Z,2025-07-01T18:38:48Z,,Sí,# Requires https://github.com/GraphiteEditor/Graphite/pull/2783
2783,Extract `graster-nodes`,closed,https://github.com/GraphiteEditor/Graphite/pull/2783,Firestar99,,,0,2025-06-28T11:00:52Z,2025-07-01T18:12:13Z,2025-07-01T18:12:12Z,,Sí,# Requires https://github.com/GraphiteEditor/Graphite/pull/2782
2782,node macro: copy visibility from node function,closed,https://github.com/GraphiteEditor/Graphite/pull/2782,Firestar99,,,0,2025-06-28T10:26:43Z,2025-07-01T15:29:01Z,2025-07-01T15:29:00Z,,Sí,No longer requires anything
2781,Update demo artwork to newest version,closed,https://github.com/GraphiteEditor/Graphite/pull/2781,TrueDoctor,,,3,2025-06-28T07:37:06Z,2025-07-02T06:36:06Z,2025-07-02T06:36:06Z,,Sí,"<!-- Please reference any relevant issue number below, optionally with a ""Closes""/""Resolves""/""Fixes"" prefix -->    This should be merged before the profiling pr #2780  since we currently can't profile the changes due to outdated document versions  "
2773,Fix Shape tool custom color picker using gamma not linear space,closed,https://github.com/GraphiteEditor/Graphite/pull/2773,0HyperCube,,,0,2025-06-27T23:56:05Z,2025-06-28T01:32:15Z,2025-06-28T01:32:14Z,,Sí,"<!-- Please reference any relevant issue number below, optionally with a ""Closes""/""Resolves""/""Fixes"" prefix -->    Closes #2769.    Colours should all be in linear space.  "
2772,Fix incorrectly calculating nonzero-area bounding boxes for empty raster images,closed,https://github.com/GraphiteEditor/Graphite/pull/2772,0HyperCube,,,0,2025-06-27T23:47:40Z,2025-06-28T02:37:39Z,2025-06-28T02:37:37Z,,Sí,When there is a raster layer with zero width/height it shouldn't get a bounding box.
2771,Only compute bounding box for layers being rendered by Vello when actually used,closed,https://github.com/GraphiteEditor/Graphite/pull/2771,TrueDoctor,,,0,2025-06-27T21:56:04Z,2025-06-28T02:06:53Z,2025-06-28T02:06:52Z,,Sí,"<!-- Please reference any relevant issue number below, optionally with a ""Closes""/""Resolves""/""Fixes"" prefix -->      "
2770,Fix DropdownInput widget not reactively updating when its content changes,closed,https://github.com/GraphiteEditor/Graphite/pull/2770,0HyperCube,,,1,2025-06-27T20:35:23Z,2025-06-28T02:59:04Z,2025-06-28T02:59:03Z,,Sí,I though the idea of svelte was that it did the fine grained reactivity automatically?    I guess maybe they fixed this in the new version?
2769,"Color in Tool Color Picker is Scaled for Shape Tools (Line, Rectangle, Ellipse, Shape)",closed,https://github.com/GraphiteEditor/Graphite/issues/2769,harrhunt,,0HyperCube,0,2025-06-27T17:43:55Z,2025-07-02T02:44:56Z,2025-06-28T01:32:15Z,Milestone 49,No,"This affects the line, rectangle, ellipse, and shape tools. Happens with both mouse drag and text input. Present on https://github.com/GraphiteEditor/Graphite/commit/9c4ab34a5830932a1aa4d485d2f511a2061896ef  https://github.com/user-attachments/assets/d5c8ddb8-b24a-477e-ba3b-bb84ef18943b"
2766,Suggestions/Requests: Graphite is awesome!,closed,https://github.com/GraphiteEditor/Graphite/issues/2766,fmchris10,,,2,2025-06-27T13:31:33Z,2025-06-29T20:14:26Z,2025-06-29T09:32:17Z,,No,"Firstly, thank you to everyone involved with this. I read an article earlier that promoted this project, and I am very impressed. The UI looks so easy to use, and it's the nicest online editor.  Additional formats such as, .webp .avif, .gif etc would be useful. Compression levels are very useful for those who edit images while online.  You probably already have plans for these, but I thought I would request or suggest them. I do a lot of work for my websites while on the move; I am Android-based. I currently use Photopea, which is awesome, but it can be fiddly on a tablet, especially when using the touchscreen. The ads can be distracting, too, and whilst I am not remotely against them, it does make an impact when trying to edit a simple image quickly. Due to the cost involved, I am unable to pay for Photopea, but I have donated.  I will be looking to make Graphite my go to online editor for sure. "
2765,Fix Path tool multi-point handle scaling behavior and double-click smooth/sharp conversion on rectangles,closed,https://github.com/GraphiteEditor/Graphite/pull/2765,0SlowPoke0,,,1,2025-06-27T10:41:00Z,2025-06-30T07:56:23Z,2025-06-30T07:56:22Z,,Sí," - fixed while scaling 2+ anchors ,should scale to their common center while also scaling their handles in unison.   - double-click on anchor connected to linear segments fails to flip between smooth-sharp"
2764,"Extract `gmath_nodes` from `gcore::ops`, create mods `debug` and `extract_xy`",closed,https://github.com/GraphiteEditor/Graphite/pull/2764,Firestar99,,,0,2025-06-27T10:34:31Z,2025-06-27T22:04:26Z,2025-06-27T22:04:24Z,,Sí,# Requires https://github.com/GraphiteEditor/Graphite/pull/2760    Split out from https://github.com/GraphiteEditor/Graphite/pull/2746#issuecomment-3012398175
2763,Stacked pr ci,closed,https://github.com/GraphiteEditor/Graphite/pull/2763,Firestar99,,,0,2025-06-27T10:28:41Z,2025-06-27T12:40:56Z,2025-06-27T12:40:54Z,,Sí,"allow ci to run on PRs which don't target master, since I commonly change the base in my stacked PRs to not be master but the previous PR in the stack"
2762,Extract `gpath_bool` from `mod gstd::ops` path_bool-related nodes,closed,https://github.com/GraphiteEditor/Graphite/pull/2762,Firestar99,,,0,2025-06-27T10:18:41Z,2025-06-27T13:12:09Z,2025-06-27T13:12:08Z,,Sí,# Requires https://github.com/GraphiteEditor/Graphite/pull/2763    Split out from https://github.com/GraphiteEditor/Graphite/pull/2759#issuecomment-3012399288
2761,Fix regression in previous commit where node parameter updates didn't refresh the render,closed,https://github.com/GraphiteEditor/Graphite/pull/2761,0SlowPoke0,,,0,2025-06-27T08:31:38Z,2025-06-27T08:42:11Z,2025-06-27T08:42:10Z,,Sí,"Fixes an issue where changes made in the Properties panel didn’t update , until the user panned cause by regression in #2748 "
2760,"Extract `gsvg_renderer` from `gcore`, remove `gcore/vello` feature ",closed,https://github.com/GraphiteEditor/Graphite/pull/2760,Firestar99,,,0,2025-06-26T17:56:40Z,2025-06-27T13:47:47Z,2025-06-27T13:47:46Z,,Sí,# Requires https://github.com/GraphiteEditor/Graphite/pull/2762
2759,Prep `gcore` splitup 2: Vector extension traits,closed,https://github.com/GraphiteEditor/Graphite/pull/2759,Firestar99,,,1,2025-06-26T17:56:14Z,2025-06-27T10:30:15Z,2025-06-27T10:30:12Z,,Sí,# Requires https://github.com/GraphiteEditor/Graphite/pull/2746
2758,Fixes for Alpha .exe and windows installers builds - windows Alpha release,closed,https://github.com/GraphiteEditor/Graphite/pull/2758,davad00,,,3,2025-06-26T15:22:48Z,2025-06-27T01:02:34Z,2025-06-26T18:06:02Z,,Sí,"Updates the node graph to streamline vector geometry processing and UI components.    The changes include:  - Renaming `Sample Polyline` node to `Sample Points` node  - Removing `PointSpacingType` enum and properties from the UI    These changes improve code readability and streamline the node graph. The update enables a smoother transition from older file formats.    Also enables devtools in the Tauri app during development.    Refactors node graph and UI components    <!-- Please reference any relevant issue number below, optionally with a ""Closes""/""Resolves""/""Fixes"" prefix -->    Closes #  "
2756,"[BUG] Persistent ""New Document"" Popup",closed,https://github.com/GraphiteEditor/Graphite/issues/2756,PedroMAdorno4,,,21,2025-06-26T02:11:14Z,2025-06-26T11:08:27Z,2025-06-26T11:08:27Z,,No,"I created a sketch and imported an image I took with my phone. Immediately, performance dropped to perhaps sub-1 fps. Hovering over anything didn´t show anything, nor did trying via shortcuts. Some time later, I decided to start a sketch from scratch, and when selecting the ""New document"" 'OK' option, it opened my previous ""document"" with the image that lagged everything, and the ""new document"" popup persisted. I'm including a short video, but the issue seems to be a width event listener not being de-registered and causing the bug.  Basically, I'm stuck with ""New Document"" popup and it doesn't matter if I'm on a new document or not, nor does pressing ""ok"" or ""cancel"" change anything  Images show a thousand words, so here we go:  ![Image](https://github.com/user-attachments/assets/9f11b852-abe2-4f21-8fe3-59d4028ed3c7)"
2754,Fix 'Morph' node lerping the target paths to its end point instead of start point,closed,https://github.com/GraphiteEditor/Graphite/pull/2754,indierusty,,,0,2025-06-25T07:34:05Z,2025-06-26T07:44:23Z,2025-06-26T07:44:22Z,,Sí,"<!-- Please reference any relevant issue number below, optionally with a ""Closes""/""Resolves""/""Fixes"" prefix -->  Fixes a regression introduced in PR #2696   "
2752,Adjust handles on point dissolve,closed,https://github.com/GraphiteEditor/Graphite/pull/2752,HWienhold,,,0,2025-06-24T23:16:44Z,2025-06-25T17:22:57Z,2025-06-25T17:22:57Z,,Sí,resolves #2651   
2750,Boolean operations no longer work the same,closed,https://github.com/GraphiteEditor/Graphite/issues/2750,harrhunt,,Keavon,5,2025-06-24T16:16:44Z,2025-07-02T02:44:56Z,2025-06-25T01:23:29Z,Milestone 49,No,"I noticed that some boolean operations I had been using stopped working a few days ago. I went through the builds in the dev & CI actions and it looks like they work on [https://f20c6739.graphite.pages.dev/](https://f20c6739.graphite.pages.dev/) but not on [https://fc501545.graphite.pages.dev/](https://fc501545.graphite.pages.dev/) I was specifically using **subtract front**, but it looks like some of the other boolean operations also have issues.  https://github.com/user-attachments/assets/def62c27-3ae9-4929-9917-23f60f3debee"
2749,Boolean operation fills holes in some cases,closed,https://github.com/GraphiteEditor/Graphite/issues/2749,Projectius,,,2,2025-06-24T15:32:51Z,2025-06-26T05:41:58Z,2025-06-26T05:41:58Z,,No,![Image](https://github.com/user-attachments/assets/973c02e4-c33e-45d9-b61d-d76876e81c57)  https://github.com/user-attachments/assets/438164f8-8835-426f-99a1-216fc07c1f3b
2748,Refactor shape gizmo interactivity to support future shape tools,closed,https://github.com/GraphiteEditor/Graphite/pull/2748,0SlowPoke0,,,0,2025-06-24T08:02:47Z,2025-06-27T05:35:20Z,2025-06-27T05:34:36Z,,Sí," Followup PR of #2683, and this fixes the two bugs mentioned by @Keavon in that.      ## ShapeGizmoHandler trait    Provides a common interface for shape-specific interactive gizmos (e.g., Star, Polygon).    Defines methods for handling state updates, clicks, dragging, overlays, and cleanup.    ## ShapeGizmoHandlers enum    Enum wrapper that abstracts over concrete shape gizmo types.    ## GizmoManager struct    Central controller that detects active gizmo layers, handles hover/click/drag input, and manages rendering.    Groups selected layers by shape type and activates the correct gizmo when hovered."
2746,Prep `gcore` splitup: move various symbols into their own modules,closed,https://github.com/GraphiteEditor/Graphite/pull/2746,Firestar99,,,1,2025-06-23T12:03:16Z,2025-06-27T09:54:36Z,2025-06-27T09:54:34Z,,Sí,"Moving some symbols within `gcore` to their own modules, to allow them to remain within `gcore` and move the rest into separate crates in a later PR."
2745,"Make `wasm` only depend on `gstd`, not `gcore`",closed,https://github.com/GraphiteEditor/Graphite/pull/2745,Firestar99,,,0,2025-06-23T09:02:02Z,2025-06-23T10:30:42Z,2025-06-23T10:30:42Z,,Sí,# Requires https://github.com/GraphiteEditor/Graphite/pull/2742
2742,Extract `gapplication_io` from `gcore`,closed,https://github.com/GraphiteEditor/Graphite/pull/2742,Firestar99,,,0,2025-06-21T22:35:00Z,2025-06-23T09:35:16Z,2025-06-23T09:35:14Z,,Sí,# Requires https://github.com/GraphiteEditor/Graphite/pull/2737    Removes the `wasm` features from `gcore` and the `web_sys` dependency.
2741,Reduce development environment warnings and remove DWARF debug symbols,closed,https://github.com/GraphiteEditor/Graphite/pull/2741,0HyperCube,,,0,2025-06-20T21:51:35Z,2025-06-22T10:10:27Z,2025-06-22T10:10:25Z,,Sí,- Ignore tauri gen folder  - Deny warnings on CI (runs after cloudflare publish)  - Fix all warnings on current rust nightly  - Disable DWARF debugging to reduce compile times and RAM usage from wasm-bindgen.
2739,"Replace Rustybuzz with Parley for text layout, and add text tilt parameter",closed,https://github.com/GraphiteEditor/Graphite/pull/2739,BKSalman,,,12,2025-06-20T10:05:03Z,2025-07-01T20:51:53Z,2025-07-01T09:23:18Z,,Sí," related to #1105    this adds [Parley](https://github.com/linebender/parley) which handles a lot of text related stuff for us    I made this PR to get feedback on the changes    and after this is accepted, some of the listed TODOs from [this issue](https://github.com/GraphiteEditor/Graphite/issues/1105) can be resolved easily, which I could either add to this PR, or make another PR for them      I've created this [simple file](https://github.com/user-attachments/files/20854910/Arabic.test.graphite.txt) that I tested with, you can also use it (you need to use a font that supports Arabic, something like `Tajawal`)    it should look like this  ![image](https://github.com/user-attachments/assets/8ab2bbac-e6e6-4755-82cb-95af3f8be1d3)    TODOs:  - [x] Add parley  - [x] Remove rustybuzz  - [x] Migrate text node from old implementation      - [x] Change default character spacing to 0     - [x] detect the number of parameters that exist on the text node and do the migration only when it doesn't match the new number of parameters  - [x] Add shear"
2738,[Docker] Built image and successfully ran,closed,https://github.com/GraphiteEditor/Graphite/issues/2738,SHU-red,,,2,2025-06-19T09:34:18Z,2025-06-19T12:23:04Z,2025-06-19T11:59:12Z,,No,"Hi there, i got graphite production successfully running - build via dockerfile - run via docker-compose  Although my implementation may not be the cleanest at the moment i wanted to ask if anyone likes me to contribute my content here?"
2737,Remove the `serde` feature and instead just always require it,closed,https://github.com/GraphiteEditor/Graphite/pull/2737,Firestar99,,,0,2025-06-18T16:25:20Z,2025-06-21T23:52:49Z,2025-06-21T23:52:47Z,,Sí,# Requires https://github.com/GraphiteEditor/Graphite/pull/2736    Everything needs serde anyway
2736,Unify feature dependencies with workspace dependencies,closed,https://github.com/GraphiteEditor/Graphite/pull/2736,Firestar99,,,0,2025-06-18T16:24:26Z,2025-06-21T23:26:27Z,2025-06-21T23:26:25Z,,Sí,"# Requires https://github.com/GraphiteEditor/Graphite/pull/2735    Every crate currently defines their own features, which means if you build or check an intermediary crate, and that one doesn't need eg. `web_sys/TextMetrics` (from `graphite-wasm`), `web_sys` will be recompiled. That including all it's dependents, like `wgpu`, `gcore` and pretty much every single crate in this repo. This makes it super annoying to build or check different crates in the tree. So I unified all features in the workspace `Cargo.toml`.    Sure, *usually* you only use `graphene-cli` or `graphite-wasm` as the main targets, but I've noticed it quite a bit. Also simplifies all active features of a crate to a single location, instead of all over the codebase. Which helps me later when I don't have to think about features when refactoring."
2735,"Bulk `gcore` cleanup, replace `core` and `alloc` with `std`",closed,https://github.com/GraphiteEditor/Graphite/pull/2735,Firestar99,,,0,2025-06-18T13:28:50Z,2025-06-21T23:08:34Z,2025-06-21T23:08:33Z,,Sí,"# Requires https://github.com/GraphiteEditor/Graphite/pull/2724    This PR contains the bulk renames, for code changes see https://github.com/GraphiteEditor/Graphite/pull/2724"
2734,Fix profiling CI action failing,closed,https://github.com/GraphiteEditor/Graphite/pull/2734,Firestar99,,,0,2025-06-18T13:08:51Z,2025-06-20T03:23:45Z,2025-06-18T13:17:25Z,,Sí,"Note: Profiling Changes **is expected to fail** since the profiling ci uses the master branch to compare to, with the code error this PR corrects.    ### Investigation  Performance tests on master are broken, seems that the profile CI isn't clean and when failing, does not prevent auto-merge.  * https://github.com/GraphiteEditor/Graphite/pull/2722 deletes the ""not-so-unused"" function [`compile`](https://github.com/GraphiteEditor/Graphite/pull/2722/commits/98b0c9231505b62aecdee9e1dceea487689075e1#diff-41b76afe49f176f87361379a2ab9dcd4d648734c544b9359e3c06ac03341428aL11-L15), breaking the profile ci  * the [ci pipeline](https://github.com/GraphiteEditor/Graphite/actions/runs/15730139360/job/44329147521) **passes sucessfully** and it get's merged  * Master never runs profiling tests  * https://github.com/GraphiteEditor/Graphite/pull/2723 **fails** the [profile step](https://github.com/GraphiteEditor/Graphite/actions/runs/15732282459/job/44336035098), **gets auto-merged anyway**"
2733,Re-export all of `gcore` in `gstd` and rename 'Image' node to 'Image Value',closed,https://github.com/GraphiteEditor/Graphite/pull/2733,Firestar99,,,0,2025-06-18T11:20:31Z,2025-06-20T03:24:33Z,2025-06-19T20:58:57Z,,Sí,"# Requires https://github.com/GraphiteEditor/Graphite/pull/2723    code changes, for bulk renames see https://github.com/GraphiteEditor/Graphite/pull/2729    This PR and https://github.com/GraphiteEditor/Graphite/pull/2729 makes `editor` to only depend on `gstd` and removes it's dependency on `gcore`. Instead, all of `gcore` is reexported in `gstd`. This allows me to rip apart `gcore` without `editor` being affected, as long as I continue to reexport all nodes in `gstd`. Saving us a lot of conflicts down the line."
2732,Fix 'Solidify Stroke' node not appending elements in the BezPath after the first ClosePath element,closed,https://github.com/GraphiteEditor/Graphite/pull/2732,indierusty,,,0,2025-06-18T09:25:21Z,2025-06-18T10:13:13Z,2025-06-18T10:10:40Z,,Sí,"<!-- Please reference any relevant issue number below, optionally with a ""Closes""/""Resolves""/""Fixes"" prefix -->    Issue:  Previously the `AppendBezpath::append_bezpath()` method didn't append the elements after the first `ClosePath` element in the given BezPath, but the Bezpath can contain more than one path. The 'Solidify Stroke' node creates at least two paths, but the `append_bezpath` method only appends the first path, and hence 'Solidify Stroke' didn't work correctly.    Fix:  Now `AppendBezpath::append_bezpath()` appends all the paths in the given BezPath, which also fixes the 'Solidify Stroke' node.    Fixes : https://discord.com/channels/731730685944922173/1372783056632549386/1384742146241724577  "
2731,"New nodes: 'Path Length', 'Count', and 'Split Path'",closed,https://github.com/GraphiteEditor/Graphite/pull/2731,indierusty,,,0,2025-06-18T07:17:21Z,2025-06-23T04:59:26Z,2025-06-23T04:59:26Z,,Sí,"<!-- Please reference any relevant issue number below, optionally with a ""Closes""/""Resolves""/""Fixes"" prefix -->    New nodes:  * 'Count' : counts the number of rows in an Instances<T>  * 'Path Length' : calculate the sum of all paths lengths in all instances of VectorData.  * 'Split Path' : Splits a subpath at a certain t value.    Discord link: https://discord.com/channels/731730685944922173/881073965047636018/1384434119433261150  "
